timestamp_utc,pod,cpu_percent,memory_mib
2026-07-04T16:42:27.123Z,jenkins-process,3.5,593.50
2026-07-04T16:42:27.992Z,jenkins-process,3.5,593.50
2026-07-04T16:42:28.751Z,jenkins-process,3.5,593.50
2026-07-04T16:42:29.563Z,jenkins-process,3.5,593.50
2026-07-04T16:42:30.491Z,jenkins-process,3.5,593.50
2026-07-04T16:42:31.327Z,jenkins-process,3.5,593.50
2026-07-04T16:42:32.185Z,jenkins-process,3.5,593.50
2026-07-04T16:42:32.957Z,jenkins-process,3.5,593.50
2026-07-04T16:42:33.761Z,jenkins-process,3.5,593.50
2026-07-04T16:42:34.695Z,jenkins-process,3.5,593.50
2026-07-04T16:42:35.522Z,jenkins-process,3.5,593.50
2026-07-04T16:42:36.373Z,jenkins-process,3.5,593.50
2026-07-04T16:42:37.163Z,jenkins-process,3.5,593.50
2026-07-04T16:42:37.937Z,jenkins-process,3.5,593.50
2026-07-04T16:42:38.890Z,jenkins-process,3.5,593.50
2026-07-04T16:42:39.721Z,jenkins-process,3.5,593.50
2026-07-04T16:42:40.584Z,jenkins-process,3.5,593.50
2026-07-04T16:42:41.363Z,jenkins-process,3.5,593.50
2026-07-04T16:42:42.209Z,jenkins-process,3.5,593.50
2026-07-04T16:42:43.087Z,jenkins-process,3.5,593.50
2026-07-04T16:42:43.980Z,jenkins-process,3.5,593.50
2026-07-04T16:42:44.837Z,jenkins-process,3.5,593.50
2026-07-04T16:42:45.641Z,jenkins-process,3.5,593.50
2026-07-04T16:42:46.384Z,jenkins-process,3.5,593.50
2026-07-04T16:42:47.167Z,jenkins-process,3.5,593.50
2026-07-04T16:42:48.015Z,jenkins-process,3.5,593.50
2026-07-04T16:42:48.800Z,jenkins-process,3.5,593.50
2026-07-04T16:42:49.601Z,jenkins-process,3.5,593.50
2026-07-04T16:42:50.404Z,jenkins-process,3.5,593.50
2026-07-04T16:42:51.214Z,jenkins-process,3.5,593.50
2026-07-04T16:42:52.100Z,jenkins-process,3.5,593.50
2026-07-04T16:42:52.903Z,jenkins-process,3.5,593.50
2026-07-04T16:42:53.694Z,jenkins-process,3.5,593.50
2026-07-04T16:42:54.599Z,jenkins-process,3.5,593.50
2026-07-04T16:42:55.509Z,jenkins-process,3.5,593.50
2026-07-04T16:42:56.410Z,jenkins-process,3.5,593.50
2026-07-04T16:42:57.193Z,jenkins-process,3.4,593.50
2026-07-04T16:42:57.965Z,jenkins-process,3.4,593.50
2026-07-04T16:42:58.721Z,jenkins-process,3.4,593.51
2026-07-04T16:42:59.592Z,jenkins-process,3.4,593.51
2026-07-04T16:43:00.507Z,jenkins-process,3.4,593.51
2026-07-04T16:43:01.292Z,jenkins-process,3.4,593.51
2026-07-04T16:43:02.041Z,jenkins-process,3.4,593.51
2026-07-04T16:43:02.923Z,jenkins-process,3.4,593.51
2026-07-04T16:43:03.791Z,jenkins-process,3.4,593.51
2026-07-04T16:43:04.670Z,jenkins-process,3.4,593.51
2026-07-04T16:43:05.503Z,jenkins-process,3.4,593.51
2026-07-04T16:43:06.287Z,jenkins-process,3.4,593.51
2026-07-04T16:43:07.652Z,jenkins-process,3.4,593.51
2026-07-04T16:43:08.397Z,jenkins-process,3.4,593.51
2026-07-04T16:43:09.310Z,jenkins-process,3.4,593.51
2026-07-04T16:43:10.136Z,jenkins-process,3.4,593.51
2026-07-04T16:43:10.987Z,jenkins-process,3.4,593.51
2026-07-04T16:43:11.682Z,jenkins-process,3.4,593.51
2026-07-04T16:43:12.455Z,jenkins-process,3.4,593.51
2026-07-04T16:43:13.289Z,jenkins-process,3.4,593.52
2026-07-04T16:43:14.135Z,jenkins-process,3.4,593.52
2026-07-04T16:43:14.864Z,jenkins-process,3.4,593.52
2026-07-04T16:43:15.614Z,jenkins-process,3.4,593.52
2026-07-04T16:43:16.472Z,jenkins-process,3.4,593.42
2026-07-04T16:43:17.331Z,jenkins-process,3.4,593.42
2026-07-04T16:43:18.123Z,jenkins-process,3.4,593.42
2026-07-04T16:43:18.924Z,jenkins-process,3.4,593.44
2026-07-04T16:43:19.744Z,jenkins-process,3.4,593.44
2026-07-04T16:43:20.581Z,jenkins-process,3.4,593.44
2026-07-04T16:43:21.470Z,jenkins-process,3.4,593.44
2026-07-04T16:43:22.208Z,jenkins-process,3.4,593.44
2026-07-04T16:43:22.979Z,jenkins-process,3.4,593.44
2026-07-04T16:43:23.816Z,jenkins-process,3.4,593.44
2026-07-04T16:43:24.664Z,jenkins-process,3.4,593.44
2026-07-04T16:43:25.486Z,jenkins-process,3.4,593.44
2026-07-04T16:43:26.222Z,jenkins-process,3.4,593.44
2026-07-04T16:43:27.061Z,jenkins-process,3.4,593.44
2026-07-04T16:43:27.913Z,jenkins-process,3.4,593.44
2026-07-04T16:43:28.793Z,jenkins-process,3.4,593.44
2026-07-04T16:43:29.505Z,jenkins-process,3.4,593.44
2026-07-04T16:43:30.267Z,jenkins-process,3.4,593.44
2026-07-04T16:43:31.184Z,jenkins-process,3.4,593.44
2026-07-04T16:43:31.985Z,jenkins-process,3.4,593.44
2026-07-04T16:43:32.808Z,jenkins-process,3.4,593.44
2026-07-04T16:43:33.595Z,jenkins-process,3.4,593.45
2026-07-04T16:43:34.405Z,jenkins-process,3.4,593.45
2026-07-04T16:43:35.245Z,jenkins-process,3.4,593.45
2026-07-04T16:43:36.103Z,jenkins-process,3.4,593.45
2026-07-04T16:43:36.917Z,jenkins-process,3.4,593.45
2026-07-04T16:43:37.738Z,jenkins-process,3.4,593.45
2026-07-04T16:43:38.604Z,jenkins-process,3.4,593.45
2026-07-04T16:43:39.468Z,jenkins-process,3.4,593.45
