run,timestamp_utc,t_start,t_end,recovery_seconds
1,2026-04-24T11:10:33Z,1777029018,1777029033,15
2,2026-04-24T11:10:57Z,1777029042,1777029057,15
3,2026-04-24T11:15:32Z,1777029313,1777029332,19
