run,timestamp_utc,t_start,t_revert,t_end,reaction_seconds,recovery_seconds
1,2026-04-22T14:21:54Z,1776867709,1776867710,1776867714,1,5
2,2026-04-22T14:22:16Z,1776867732,1776867733,1776867736,1,4
3,2026-04-22T14:22:47Z,1776867759,1776867760,1776867767,1,8
4,2026-04-22T14:23:18Z,1776867793,1776867795,1776867798,2,5
5,2026-04-22T14:24:37Z,1776867873,1776867873,1776867877,0,4
