run,timestamp_utc,bad_tag,t_start,t_end,detection_seconds
1,2026-06-28T14:25:26Z,sha-badbeef000,1782656719,1782656726,7
2,2026-06-28T14:27:30Z,sha-badbeef000,1782656813,1782656850,37
3,2026-06-28T14:29:36Z,sha-badbeef000,1782656943,1782656976,33
