run,timestamp_utc,t_start,t_revert,t_end,reaction_seconds,recovery_seconds
1,2026-04-24T07:56:42Z,1777017394,1777017394,1777017402,0,8
2,2026-04-24T08:06:49Z,1777018001,1777018002,1777018009,1,8
