run,timestamp_utc,t_start_e2e,t_start_cd,t_end,cd_duration_seconds,e2e_duration_seconds
1,2026-04-22T12:35:00Z,1776861201,1776861289,1776861300,11,99
2,2026-04-22T12:36:47Z,1776861316,1776861397,1776861407,10,91
3,2026-04-22T12:41:36Z,1776861614,1776861681,1776861696,15,82
4,2026-04-22T12:53:06Z,1776862299,1776862373,1776862386,13,87
